"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C3";"C_0805_2012Metric";1;"4.7uF_1206_lowESR";;;
2;"C1";"C_0402_1005Metric";1;"0.1uF";;;
3;"R4,R2";"C_0603_1608Metric";2;"220E";;;
4;"J1";"PinHeader_1x06_P2.54mm_Vertical";1;"I/O";;;
5;"Z2,Z1";"C_0805_2012Metric";2;"Diode_Zener_SOD123";;;
6;"J4";"USB_Micro-B_Molex_47346-0001";1;"USB_B_Micro";;;
7;"U2";"SOT-89-3";1;"MC78L05_SOT89";;;
8;"R3,R1";"C_0603_1608Metric";2;"68E";;;
9;"J2";"PinHeader_1x03_P2.54mm_Vertical";1;"Power";;;
10;"D3,D2";"LED_0603_1608Metric";2;"LED";;;
11;"D1";"D_SOD-123";1;"MBR0520LT";;;
12;"U1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"ATtiny85-20P";;;
