Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery-Holder_Coin-Cell_CR2032_Linx_BAT-HLD-001","Battery-Holder_Coin-Cell_CR2032_Linx_BAT-HLD-001",105.415200,-103.475200,-90.000000,top
"C1","10uF","C_0805_2012Metric",121.065200,-104.700200,-90.000000,top
"C2","10uF","C_0805_2012Metric",120.190200,-92.425200,180.000000,top
"C3","0.1uF","C_0805_2012Metric",116.640200,-92.425200,180.000000,top
"C4","0.1uF","C_0805_2012Metric",120.265200,-90.200200,0.000000,top
"C5","10uF","C_0805_2012Metric",116.565200,-90.300200,180.000000,top
"C6","0.1uF","C_0805_2012Metric",112.915200,-90.300200,0.000000,top
"C7","0.1uF","C_0805_2012Metric",112.890200,-92.350200,180.000000,top
"D1","USBLC6-2SC6","SOT-23-6",117.890200,-104.875200,0.000000,top
"D2","LED","LED_0603_1608Metric",141.665200,-118.037700,90.000000,top
"J1","USB_B_Micro","USB_Micro-B_GCT_USB3076-30-A",135.570200,-120.480200,0.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",126.860200,-120.000200,-90.000000,top
"Q1","S8550","TO-92_Inline",117.500200,-110.625200,0.000000,top
"Q2","S8550","TO-92_Inline",123.200200,-110.575200,0.000000,top
"Q3","S8550","TO-92_Inline",128.860200,-110.525200,0.000000,top
"Q4","S8550","TO-92_Inline",134.600200,-110.575200,0.000000,top
"Q5","MMBT3904","SOT-23",144.215200,-97.275200,0.000000,top
"Q6","MMBT3904","SOT-23",144.215200,-101.175200,0.000000,top
"R1","10k","R_0805_2012Metric",148.015200,-99.250200,180.000000,top
"R2","10k","R_0805_2012Metric",147.952700,-103.600200,0.000000,top
"R3","4.7k","R_0805_2012Metric",151.652700,-99.225200,180.000000,top
"R4","4.7k","R_0805_2012Metric",151.627700,-103.600200,180.000000,top
"R5","330 ohm","R_0805_2012Metric",170.715200,-96.712700,-90.000000,top
"R6","330 ohm","R_0805_2012Metric",170.665200,-108.812700,-90.000000,top
"R7","330 ohm","R_0805_2012Metric",154.940200,-104.975200,90.000000,top
"R8","330 ohm","R_0805_2012Metric",154.940200,-101.325200,-90.000000,top
"R9","330 ohm","R_0805_2012Metric",170.665200,-105.100200,-90.000000,top
"R10","330 ohm","R_0805_2012Metric",170.715200,-93.100200,90.000000,top
"R11","330 ohm","R_0805_2012Metric",170.665200,-100.875200,-90.000000,top
"R12","1k ohm","R_0805_2012Metric",126.402700,-116.350200,180.000000,top
"R13","1k ohm","R_0805_2012Metric",130.252700,-116.200200,0.000000,top
"R14","1k ohm","R_0805_2012Metric",122.465200,-116.375200,0.000000,top
"R15","1k ohm","R_0805_2012Metric",118.765200,-116.400200,180.000000,top
"R16","330 ohm","R_0805_2012Metric",154.940200,-108.625200,90.000000,top
"R17","10k ohm","R_0805_2012Metric",130.252700,-114.050200,180.000000,top
"R18","10k ohm","R_0805_2012Metric",126.402700,-114.100200,0.000000,top
"R19","10k ohm","R_0805_2012Metric",122.477700,-114.175200,180.000000,top
"R20","10k ohm","R_0805_2012Metric",118.765200,-114.200200,0.000000,top
"R21","330 ohm","R_0805_2012Metric",140.727700,-115.400200,0.000000,top
"R22","10k","R_0805_2012Metric",140.690200,-113.200200,0.000000,top
"R23","10k","R_0805_2012Metric",148.015200,-97.050200,0.000000,top
"R24","10k","R_0805_2012Metric",147.977700,-101.450200,0.000000,top
"R25","100k","R_0805_2012Metric",151.665200,-97.100200,0.000000,top
"R26","100k","R_0805_2012Metric",151.627700,-101.450200,180.000000,top
"ST1","Standoff","Fiducial_0.5mm_Mask1.5mm",170.815200,-85.875200,0.000000,top
"ST2","Standoff","Fiducial_0.5mm_Mask1.5mm",97.315200,-89.150200,0.000000,top
"ST3","Standoff","Fiducial_0.5mm_Mask1.5mm",118.197000,-124.079000,0.000000,top
"ST4","Standoff","Fiducial_0.5mm_Mask1.5mm",152.741000,-123.850400,0.000000,top
"SW1","SMD_6x3.5mm_h2.5mm","SW_PUSH_6mm_H7.3mm",109.015200,-119.000200,0.000000,top
"SW2","SMD_6x3.5mm_h2.5mm","SW_PUSH_6mm_H7.3mm",99.040200,-119.000200,0.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",147.015200,-91.650200,0.000000,top
"U2","DS3231M","SOIC-16W_7.5x10.3mm_P1.27mm",148.915200,-116.150200,0.000000,top
"U3","ESP32-WROOM-32","ESP32-WROOM-32",131.965200,-97.115200,0.000000,top
"U4","CP2102N-Axx-xQFN24","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",146.065200,-107.687700,0.000000,top
"U5","LTC-4627JD","LTC-4627Jx",157.780200,-95.125200,0.000000,top
