"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW2,SW1";"SW_PUSH_6mm_H7.3mm";2;"SMD_6x3.5mm_h2.5mm";;;
2;"R9,R16,R5,R11,R8,R21,R7,R10,R6";"R_0805_2012Metric";9;"330 ohm";;;
3;"R13,R12,R14,R15";"R_0805_2012Metric";4;"1k ohm";;;
4;"R1,R22,R2,R24,R23";"R_0805_2012Metric";5;"10k";;;
5;"R20,R19,R17,R18";"R_0805_2012Metric";4;"10k ohm";;;
6;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
7;"ST1,ST4,ST3,ST2";"Fiducial_0.5mm_Mask1.5mm";4;"Standoff";;;
8;"Q4,Q2,Q1,Q3";"TO-92_Inline";4;"S8550";;;
9;"Q6,Q5";"SOT-23";2;"MMBT3904";;;
10;"R4,R3";"R_0805_2012Metric";2;"4.7k";;;
11;"C2,C1,C5";"C_0805_2012Metric";3;"10uF";;;
12;"C3,C7,C6,C4";"C_0805_2012Metric";4;"0.1uF";;;
13;"R26,R25";"R_0805_2012Metric";2;"100k";;;
14;"D2";"LED_0603_1608Metric";1;"LED";;;
15;"U2";"SOIC-16W_7.5x10.3mm_P1.27mm";1;"DS3231M";;;
16;"BT1";"Battery-Holder_Coin-Cell_CR2032_Linx_BAT-HLD-001";1;"Battery-Holder_Coin-Cell_CR2032_Linx_BAT-HLD-001";;;
17;"U3";"ESP32-WROOM-32";1;"ESP32-WROOM-32";;;
18;"J1";"USB_Micro-B_GCT_USB3076-30-A";1;"USB_B_Micro";;;
19;"U5";"LTC-4627Jx";1;"LTC-4627JD";;;
20;"U1";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
21;"U4";"QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm";1;"CP2102N-Axx-xQFN24";;;
22;"D1";"SOT-23-6";1;"USBLC6-2SC6";;;
