"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R4";"R_0805_2012Metric";1;"R_Small_1k";;;
2;"R3";"R_0805_2012Metric";1;"R_Small_100";;;
3;"R2";"R_0805_2012Metric";1;"R_Small_330";;;
4;"R1";"R_0805_2012Metric";1;"R_Small_10k";;;
5;"D4,D3";"LED_0603_1608Metric";2;"LED";;;
6;"D2";"LED_D5.0mm_IRBlack";1;"LED";;;
7;"D1";"LED_D5.0mm_Clear";1;"LED";;;
8;"U1";"SMDIP-8_W7.62mm";1;"LM358";;;
9;"J1";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Pin";;;
10;"RV1";"Potentiometer_Bourns_3296W_Vertical";1;"potentiometer_RK163";;;
