Ref,Val,Package,PosX,PosY,Rot,Side
"H1","MountingHole_M3_3.2mm_Pad","MountingHole_3.2mm_Pad",100.076000,-24.384000,0.000000,top
"H2","MountingHole_M3_3.2mm_Pad","MountingHole_3.2mm_Pad",192.024000,-24.892000,0.000000,top
"H3","MountingHole_M3_3.2mm_Pad","MountingHole_3.2mm_Pad",100.076000,-127.000000,0.000000,top
"H4","MountingHole_M3_3.2mm_Pad","MountingHole_3.2mm_Pad",192.024000,-127.000000,0.000000,top
"J1","PINHD_1x15_Male","PinSocket_1x15_P2.54mm_Vertical",142.748000,-92.456000,0.000000,top
"J2","Conn_01x05","PinSocket_1x05_P2.54mm_Vertical",109.728000,-58.928000,90.000000,top
"J3","Conn_01x04","PinSocket_1x04_P2.54mm_Vertical",178.308000,-25.908000,90.000000,top
"J4","Conn_01x03","PinSocket_1x03_P2.54mm_Vertical",104.648000,-79.756000,90.000000,top
"J5","Conn_01x04","PinSocket_1x04_P2.54mm_Vertical",188.468000,-78.994000,0.000000,top
"J6","Conn_01x02","PinSocket_1x02_P2.54mm_Vertical",134.620000,-44.196000,0.000000,top
"J7","Conn_01x02","PinSocket_1x02_P2.54mm_Vertical",134.620000,-26.665000,0.000000,top
"J8","Conn_01x02","PinSocket_1x02_P2.54mm_Vertical",108.712000,-26.665000,0.000000,top
"J9","Conn_01x04","PinSocket_1x04_P2.54mm_Vertical",150.368000,-25.908000,90.000000,top
"J10","Conn_01x04","PinSocket_1x04_P2.54mm_Vertical",178.308000,-69.088000,90.000000,top
"J11","Conn_01x04","PinSocket_1x04_P2.54mm_Vertical",150.368000,-69.088000,90.000000,top
"J12","Conn_01x02","PinSocket_1x02_P2.54mm_Vertical",108.712000,-44.196000,0.000000,top
"J13","Conn_01x04","PinSocket_1x04_P2.54mm_Vertical",131.318000,-59.436000,90.000000,top
"J14","PINHD_1x15_Male","PinSocket_1x15_P2.54mm_Vertical",151.892000,-92.456000,0.000000,top
"J15","PINHD_1x15_Male","PinSocket_1x15_P2.54mm_Vertical",108.712000,-92.456000,0.000000,top
"J16","Conn_01x08","PinSocket_1x08_P2.54mm_Vertical",167.132000,-110.744000,0.000000,top
"J17","Conn_01x08","PinSocket_1x08_P2.54mm_Vertical",182.372000,-110.744000,0.000000,top
"J18","PINHD_1x15_Male","PinSocket_1x15_P2.54mm_Vertical",117.348000,-92.456000,0.000000,top
"J19","Conn_01x02","PinSocket_1x02_P2.54mm_Vertical",139.700000,-44.196000,0.000000,top
"J20","Conn_01x02","PinSocket_1x02_P2.54mm_Vertical",139.700000,-26.665000,0.000000,top
"J21","Conn_01x04","PinSocket_1x04_P2.54mm_Vertical",182.397000,-79.004000,0.000000,top
"R1","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",100.076000,-89.408000,90.000000,top
"R2","4.7k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",159.004000,-102.108000,0.000000,top
"R3","4.7k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",159.004000,-94.488000,0.000000,top
"R13","1k ohm","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",159.512000,-104.800400,-90.000000,top
