"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J21,J13,J11,J10,J9,J5,J3";"PinSocket_1x04_P2.54mm_Vertical";7;"Conn_01x04";;;
2;"J20,J19,J12,J8,J7,J6";"PinSocket_1x02_P2.54mm_Vertical";6;"Conn_01x02";;;
3;"J17,J16";"PinSocket_1x08_P2.54mm_Vertical";2;"Conn_01x08";;;
4;"J15,J14,J18,J1";"PinSocket_1x15_P2.54mm_Vertical";4;"PINHD_1x15_Male";;;
5;"J4";"PinSocket_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
6;"J2";"PinSocket_1x05_P2.54mm_Vertical";1;"Conn_01x05";;;
7;"R13";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1k ohm";;;
8;"R2,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"4.7k";;;
9;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"10k";;;
10;"H3,H1,H2,H4";"MountingHole_3.2mm_Pad";4;"MountingHole_M3_3.2mm_Pad";;;
