Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF","CP_Radial_D8.0mm_P3.50mm",163.394400,-71.186000,0.000000,top
"C2","100nF_Ceramic","C_Disc_D5.0mm_W2.5mm_P2.50mm",128.317000,-70.678000,90.000000,top
"C3","1uF_0603_25V","C_0805_2012Metric",121.636800,-79.085400,180.000000,top
"C4","220uF_25V","CP_Radial_D8.0mm_P3.50mm",158.085800,-70.830400,180.000000,top
"C5","220uF_25V","CP_Radial_D8.0mm_P3.50mm",157.909651,-79.441000,180.000000,top
"C6","220uF_25V","CP_Radial_D8.0mm_P3.50mm",153.907200,-86.745000,-90.000000,top
"C7","100nF_Ceramic","C_Disc_D5.0mm_W2.5mm_P2.50mm",128.317000,-76.347600,90.000000,top
"C8","100nF_Ceramic","C_Disc_D5.0mm_W2.5mm_P2.50mm",125.091200,-76.342200,90.000000,top
"C9","100nF_Ceramic","C_Disc_D5.0mm_W2.5mm_P2.50mm",121.992400,-76.322200,90.000000,top
"C10","10uF_4x5.3_10V","CP_Elec_4x5.3",133.854200,-90.490000,-90.000000,top
"C11","10uF_4x5.3_10V","CP_Elec_4x5.3",139.907200,-90.545000,0.000000,top
"C12","100nF_Ceramic","C_Disc_D5.0mm_W2.5mm_P2.50mm",145.207200,-90.645000,0.000000,top
"C13","10uF_4x5.3_10V","CP_Elec_4x5.3",136.507200,-102.445000,0.000000,top
"C14","10uF_4x5.3_10V","CP_Elec_4x5.3",136.507200,-111.445000,0.000000,top
"C15","100nF_Ceramic","C_Disc_D5.0mm_W2.5mm_P2.50mm",135.007200,-106.845000,0.000000,top
"C16","100nF_Ceramic","C_Disc_D5.0mm_W2.5mm_P2.50mm",150.707200,-100.445000,-90.000000,top
"D1","D_Schottky","D_SMA",132.863600,-70.265000,-90.000000,top
"D2","D_TVS","D_SMA",123.015000,-68.442800,180.000000,top
"D3","SS34","D_SMA",127.243600,-79.898200,180.000000,top
"D4","LED","LED_0603_1608Metric",121.560600,-71.287600,0.000000,top
"D5","LED","LED_0603_1608Metric",136.007200,-96.345000,0.000000,top
"D6","LED","LED_0603_1608Metric",134.719700,-114.945000,0.000000,top
"D7","D_Schottky","D_SMA",155.507200,-97.145000,90.000000,top
"F1","Polyfuse","Fuse_Bourns_MF-RG300",167.529200,-81.149000,180.000000,top
"F2","Polyfuse","Fuse_Bourns_MF-RG300",156.407200,-101.995000,-90.000000,top
"J1","Screw_Terminal_2_P5.00mm","TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",163.320700,-90.754800,90.000000,top
"J2","Screw_Terminal_2_P5.00mm","TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",126.739700,-85.045000,-90.000000,top
"J3","Screw_Terminal_2_P5.00mm","TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",126.707200,-96.645000,-90.000000,top
"J4","Screw_Terminal_2_P5.00mm","TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",126.739700,-108.445000,-90.000000,top
"J5","Screw_Terminal_2_P5.00mm","TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",163.307200,-101.945000,90.000000,top
"L1","33uh","L_Radial_D10.0mm_P5.00mm_Fastron_07M",142.707200,-83.645000,0.000000,top
"R1","330 ohm","R_0805_2012Metric",124.915700,-71.262200,180.000000,top
"R2","240","R_0805_2012Metric",138.607200,-95.482500,90.000000,top
"R3","560","R_0805_2012Metric",140.007200,-98.245000,180.000000,top
"R4","330 ohm","R_0805_2012Metric",140.707200,-95.445000,-90.000000,top
"R5","330 ohm","R_0805_2012Metric",138.107200,-115.145000,180.000000,top
"U1","LM2596S-5","TO-263-5_TabPin3",145.203400,-72.405200,0.000000,top
"U2","LM317_TO-220","TO-220-3_Vertical",149.607200,-95.245000,180.000000,top
"U3","AMS1117-3.3","SOT-223-3_TabPin2",144.707200,-105.395000,-90.000000,top
