"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C9,C8,C16,C12,C15,C7,C2";"C_Disc_D5.0mm_W2.5mm_P2.50mm";7;"100nF_Ceramic";;;
2;"J1,J3,J2,J5,J4";"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal";5;"Screw_Terminal_2_P5.00mm";;;
3;"D6,D5,D4";"LED_0603_1608Metric";3;"LED";;;
4;"R5,R4,R1";"R_0805_2012Metric";3;"330 ohm";;;
5;"D2";"D_SMA";1;"D_TVS";;;
6;"C5,C6,C4";"CP_Radial_D8.0mm_P3.50mm";3;"220uF_25V";;;
7;"C1";"CP_Radial_D8.0mm_P3.50mm";1;"100uF";;;
8;"D7,D1";"D_SMA";2;"D_Schottky";;;
9;"U2";"TO-220-3_Vertical";1;"LM317_TO-220";;;
10;"R3";"R_0805_2012Metric";1;"560";;;
11;"C3";"C_0805_2012Metric";1;"1uF_0603_25V";;;
12;"D3";"D_SMA";1;"SS34";;;
13;"U3";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
14;"C14,C11,C13,C10";"CP_Elec_4x5.3";4;"10uF_4x5.3_10V";;;
15;"F2,F1";"Fuse_Bourns_MF-RG300";2;"Polyfuse";;;
16;"R2";"R_0805_2012Metric";1;"240";;;
17;"L1";"L_Radial_D10.0mm_P5.00mm_Fastron_07M";1;"33uh";;;
18;"U1";"TO-263-5_TabPin3";1;"LM2596S-5";;;
