"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R11,R3,R16,R12,R13,R10,R2,R14,R4,R6,R15,R17,R7,R5,R9,R8";"R_0805_2012Metric";16;"10k";;;
2;"H1,H4,H3,H2";"MountingHole_2.5mm_Pad";4;"MountingHole_M3_3.2mm_Pad";;;
3;"R1";"R_0805_2012Metric";1;"1k";;;
4;"D12,D4,D3,D6,D11,D13,D1,D10,D7";"LED_0805_2012Metric";9;"LED";;;
5;"K4,K2,K7,K1,K6,K5,K3,K8";"Relay_SPDT_Omron-G5LE-1";8;"G5LE-1";;;
6;"D14,D9,D17,D8,D15,D16";"D_1206_3216Metric";6;"D_Small";;;
7;"R19,R22,R20,R24,R25,R23,R21,R18";"R_0805_2012Metric";8;"680E";;;
8;"D5,D2";"C_0805_2012Metric";2;"D_Small";;;
9;"J5,J3,J8,J6,J7,J9,J10,J4";"JST_NV_B03P-NV_1x03_P5.00mm_Vertical";8;"NC CO NO";;;
10;"C1,C2";"C_0805_2012Metric";2;"100nf";;;
11;"J2";"PinHeader_1x08_P2.54mm_Vertical";1;"INPUTS";;;
12;"U1";"DIP-28_W7.62mm_LongPads";1;"ULN2803A";;;
13;"J1";"JST_NV_B02P-NV_1x02_P5.00mm_Vertical";1;"Conn_01x02_Pin";;;
14;"SW1";"SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin";1;"SW_SPST";;;
