Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric",167.450000,-78.350000,0.000000,top
"C2","1uF","C_0805_2012Metric",167.550000,-72.000000,0.000000,top
"C3","100nF","C_0805_2012Metric",167.500000,-74.000000,0.000000,top
"C4","10uF","C_0805_2012Metric",167.450000,-76.150000,0.000000,top
"D1","LED","LED_0603_1608Metric",171.812500,-72.250000,180.000000,top
"D2","LED","LED_0603_1608Metric",172.012500,-85.200000,0.000000,top
"D3","USBLC6-2SC6","SOT-23-6",163.550000,-77.400000,0.000000,top
"J1","PinHeader_01x05_P2.54mm_Horizontal_SMD","PinHeader_1x05_P2.54mm_Vertical",159.550000,-83.700000,180.000000,top
"P1","Conn_USB_A_Plug","Conn_USB_A_Plug",179.225000,-78.650000,90.000000,top
"R1","1k","R_0805_2012Metric",172.062500,-83.300000,180.000000,top
"R2","1k","R_0805_2012Metric",172.012500,-74.300000,0.000000,top
"R3","1k","R_0805_2012Metric",167.550000,-85.000000,180.000000,top
"R4","1k","R_0805_2012Metric",167.500000,-82.800000,0.000000,top
"R5","10k","R_0805_2012Metric",167.500000,-80.600000,180.000000,top
"R6","22 ohm","R_0805_2012Metric",163.850000,-74.100000,0.000000,top
"R8","22 ohm","R_0805_2012Metric",163.837500,-71.850000,0.000000,top
"U1","CP2102N-Axx-xQFN28","QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm",172.600000,-78.850000,0.000000,top
