"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C2";"C_0805_2012Metric";1;"1uF";;;
2;"C1,C3";"C_0805_2012Metric";2;"100nF";;;
3;"R4,R3,R1,R2";"R_0805_2012Metric";4;"1k";;;
4;"R5";"R_0805_2012Metric";1;"10k";;;
5;"C4";"C_0805_2012Metric";1;"10uF";;;
6;"U1";"QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm";1;"CP2102N-Axx-xQFN28";;;
7;"D3";"SOT-23-6";1;"USBLC6-2SC6";;;
8;"P1";"Conn_USB_A_Plug";1;"Conn_USB_A_Plug";;;
9;"R6,R8";"R_0805_2012Metric";2;"22 ohm";;;
10;"D1,D2";"LED_0603_1608Metric";2;"LED";;;
11;"J1";"PinHeader_1x05_P2.54mm_Vertical";1;"PinHeader_01x05_P2.54mm_Horizontal_SMD";;;
